Age,Occupation,Residence_Area,Movement_Frequency,Active_Times,Primary_Transport_Mode,Vehicle_Type,Delay_Causes,Accident_Frequency,Accident_Causes,Safety_Rating,Traffic_Regulations_Enforcement,Traffic_Changes,Traffic_Volume(target)
18 - 25,Student,North,Occasionally,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Never,Speeding;Weather conditions,Neutral,No,No change,2
18 - 25,Student,East,Daily,Mid day,Car,Motorcycle,Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,2
36 - 45,Student,West,Occasionally,Evening rush hour;Late at  night,Car,SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,No,No change,2
18 - 25,Student,West,Daily,Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,2
18 - 25,Student,West,Daily,Morning rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,2
18 - 25,Student,East,Daily,Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Never,Speeding;Poor road conditions,Somewhat unsafe,No,No change,2
46 - 55,Employed (full-time),East,Daily,Early morning,Car,Truck,Accidents,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Maybe,No change,2
18 - 25,Employed (full-time),South,Occasionally,Early morning;Morning rush hour,Car,SUV,Heavy traffic due to peak hours,Often,Speeding,Somewhat safe,Yes,Improvement,2
36 - 45,Employed (full-time),North,Occasionally,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
18 - 25,Student,South,Occasionally,Early morning;Mid day,Car,Car,Road construction,Often,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
18 - 25,Student,East,Daily,Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
36 - 45,Student,North,Several times a week,Early morning;Morning rush hour;Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,Speeding;Poor road conditions,Very safe,Yes,Improvement,2
18 - 25,Student,North,Occasionally,Morning rush hour;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Very safe,Yes,Improvement,2
18 - 25,Retired,East,Several times a week,Evening rush hour,Car,SUV,Road construction,Rarely,"Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
18 - 25,Employed (full-time),West,Occasionally,Early morning;Morning rush hour;Evening rush hour,Car,No car ,Road construction,Rarely,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,North,Daily,Early morning;Morning rush hour;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,West,Several times a week,Early morning;Evening rush hour,Car,Car,Road construction,Sometimes,Speeding,Very safe,Yes,No change,2
26 - 35,Student,East,Daily,Mid day;Evening rush hour,Bicycle,Car,Road construction,Often,"Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,No change,2
46 - 55,Student,East,Occasionally,Early morning;Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Somewhat unsafe,Yes,Improvement,2
18 - 25,Student,South,Daily,Early morning;Evening rush hour,Car,Car;Truck,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,North,Daily,Evening rush hour,Car,Car;SUV,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,2
18 - 25,Employed (full-time),North,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Bicycle,Car,Heavy traffic due to peak hours,Often,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
26 - 35,Employed (full-time),East,Occasionally,Evening rush hour,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Maybe,Improvement,2
18 - 25,Student,South,Daily,Morning rush hour;Mid day,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,No,Improvement,2
36 - 45,Employed (full-time),West,Daily,Early morning,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Somewhat unsafe,Yes,No change,2
26 - 35,Student,East,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,SUV,Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
46 - 55,Student,North,Daily,Early morning;Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Student,East,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
18 - 25,Student,East,Occasionally,Evening rush hour;Late at  night,Public transit (bus),Car,Accidents;Road construction,Often,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
56 and above,Student,South,Occasionally,Early morning;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,Speeding,Neutral,Maybe,No change,2
36 - 45,Student,North,Daily,Morning rush hour;Evening rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,East,Daily,Morning rush hour;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat safe,Yes,No change,2
26 - 35,Employed (full-time),West,Several times a week,Mid day,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Employed (full-time),North,Daily,Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
26 - 35,Student,East,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,No,No change,2
18 - 25,Student,East,Daily,Morning rush hour;Mid day;Evening rush hour,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,Yes,Improvement,2
18 - 25,Student,East,Daily,Morning rush hour;Evening rush hour,Car,Car;SUV,Road construction,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,No change,2
18 - 25,Employed (full-time),East,Several times a week,Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Rarely,Speeding,Somewhat safe,Yes,Improvement,2
18 - 25,Employed (full-time),South,Several times a week,Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Yes,No change,2
18 - 25,Student,South,Occasionally,Morning rush hour,Car,Motorcycle,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
36 - 45,Student,North,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,No change,2
18 - 25,Employed (full-time),East,Daily,Morning rush hour,Public transit (bus),Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very safe,No,No change,2
18 - 25,Employed (full-time),East,Occasionally,Early morning;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,Speeding,Somewhat safe,Yes,Improvement,2
18 - 25,Student,South,Occasionally,Morning rush hour;Mid day;Late at  night,Car,SUV,Accidents;Heavy traffic due to peak hours,Often,Weather conditions,Somewhat safe,Yes,Improvement,2
26 - 35,Employed (full-time),North,Several times a week,Early morning,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
36 - 45,Student,East,Several times a week,Mid day;Evening rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very unsafe,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Morning rush hour;Evening rush hour,Public transit (bus),Car,Accidents;Road construction;Heavy traffic due to peak hours,Never,"Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
26 - 35,Employed (part-time),East,Several times a week,Early morning;Morning rush hour;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,No,No change,2
18 - 25,Student,West,Daily,Early morning;Mid day;Evening rush hour;Late at  night,Public transit (bus),Car;SUV,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
26 - 35,Student,East,Several times a week,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Morning rush hour;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,Speeding,Somewhat safe,Maybe,No change,2
18 - 25,Student,West,Daily,Mid day,Car,Car,Accidents,Rarely,Speeding,Neutral,Yes,No change,2
18 - 25,Student,East,Daily,Morning rush hour;Late at  night,Car,No car ,Accidents;Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,No,Improvement,2
26 - 35,Employed (full-time),North,Daily,Early morning;Mid day;Evening rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
36 - 45,Self-employed,North,Several times a week,Morning rush hour;Mid day,Car,SUV,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,No,Improvement,2
18 - 25,Student,North,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Maybe,Improvement,2
18 - 25,Student,South,Daily,Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Student,East,Several times a week,Evening rush hour,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Maybe,Improvement,2
18 - 25,Student,North,Several times a week,Evening rush hour,Car,Car,Accidents,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Maybe,Improvement,2
18 - 25,Student,East,Several times a week,Morning rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,North,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Somewhat unsafe,Yes,No change,2
18 - 25,Employed (full-time),West,Occasionally,Morning rush hour;Mid day;Evening rush hour,Car,SUV,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,Speeding;Poor road conditions,Somewhat safe,No,No change,2
56 and above,Employed (full-time),East,Daily,Early morning;Evening rush hour,Car,Car,Road construction,Rarely,Speeding,Very safe,Maybe,No change,2
18 - 25,Student,North,Several times a week,Morning rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,Improvement,2
36 - 45,Employed (full-time),South,Daily,Evening rush hour,Car,Car,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Urgency to pass red light quickly when it’s going yellow to red",Very unsafe,Yes,Improvement,2
18 - 25,Self-employed,West,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use);Weather conditions",Very safe,Yes,Improvement,2
26 - 35,Student,North,Daily,Early morning,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,2
18 - 25,Student,East,Occasionally,Early morning;Mid day,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,No change,2
18 - 25,Student,East,Daily,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
18 - 25,Student,East,Daily,Evening rush hour;Late at  night,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Evening rush hour;Late at  night,Car,Car,Accidents;Heavy traffic due to peak hours,Sometimes,Speeding,Very unsafe,Maybe,No change,2
18 - 25,Employed (full-time),East,Daily,Mid day,Car,Motorcycle,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,Speeding,Neutral,Maybe,No change,2
46 - 55,Employed (full-time),West,Daily,Morning rush hour,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use)",Very safe,Yes,No change,2
18 - 25,Retired,East,Occasionally,Early morning,Car,SUV,Heavy traffic due to peak hours,Rarely,Speeding,Neutral,Yes,No change,2
18 - 25,Student,South,Several times a week,Early morning;Morning rush hour;Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Very safe,Yes,Improvement,2
18 - 25,Student,North,Daily,Morning rush hour,Car,Car,Accidents;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,Improvement,2
18 - 25,Student,South,Several times a week,Early morning;Evening rush hour,Car,Car,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Urgency to pass red light quickly when it’s going yellow to red",Somewhat safe,Yes,Improvement,2
46 - 55,Student,East,Daily,Mid day,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,West,Daily,Early morning;Mid day;Evening rush hour;Late at  night,Car,SUV,Heavy traffic due to peak hours,Sometimes,Speeding;Poor road conditions,Somewhat safe,No,Improvement,2
46 - 55,Employed (full-time),North,Several times a week,Early morning;Mid day;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,2
36 - 45,Student,East,Occasionally,Mid day,Car,SUV,Road construction,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,Yes,No change,2
18 - 25,Employed (full-time),North,Daily,Early morning,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Neutral,Yes,No change,2
46 - 55,Student,North,Daily,Morning rush hour,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Maybe,No change,2
18 - 25,Student,North,Occasionally,Early morning;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
